year,county_fips,DEMOCRAT,GREEN,LIBERTARIAN,OTHER,REPUBLICAN,TOTAL,MARGIN
2000,5067.0,3651.0,77.0,,64.0,2280.0,6072.0,-0.2257905138339921
2000,5069.0,17716.0,361.0,,359.0,8765.0,27201.0,-0.32906878423587366
2000,5071.0,3270.0,109.0,,125.0,3657.0,7161.0,0.0540427314620863
2000,5073.0,1806.0,27.0,,12.0,1538.0,3383.0,-0.07921962754951227
2000,5075.0,3255.0,87.0,,72.0,2626.0,6040.0,-0.10413907284768212
2000,5077.0,2727.0,18.0,,25.0,1351.0,4121.0,-0.33389953894685753
2000,5079.0,1957.0,21.0,,42.0,1526.0,3546.0,-0.1215454032712916
2000,5081.0,2883.0,50.0,,47.0,2283.0,5263.0,-0.11400342010260307
2000,5083.0,3283.0,124.0,,202.0,4487.0,8096.0,0.14871541501976285
2000,5085.0,6851.0,237.0,,249.0,10606.0,17943.0,0.20927381151423954
2000,5087.0,2055.0,88.0,,98.0,3387.0,5628.0,0.23667377398720682
2000,5089.0,2233.0,220.0,,160.0,3402.0,6015.0,0.1943474646716542
2000,5091.0,6278.0,100.0,,91.0,7276.0,13745.0,0.07260822117133503
2000,5093.0,7107.0,110.0,,170.0,5199.0,12586.0,-0.151597012553631
2000,5095.0,1910.0,29.0,,25.0,1329.0,3293.0,-0.17643486182812027
2000,5097.0,1438.0,101.0,,72.0,2128.0,3739.0,0.18454132120887937
2000,5099.0,1867.0,42.0,,33.0,1796.0,3738.0,-0.018994114499732477
2000,5101.0,1205.0,112.0,,81.0,2529.0,3927.0,0.33715304303539595
2000,5103.0,5464.0,100.0,,92.0,4739.0,10395.0,-0.06974506974506975
2000,5105.0,1648.0,61.0,,184.0,2114.0,4007.0,0.11629648115797354
2000,5107.0,6018.0,75.0,,66.0,3154.0,9313.0,-0.3075271126382476
2000,5109.0,1604.0,45.0,,47.0,2275.0,3971.0,0.16897506925207756
2000,5111.0,4102.0,87.0,,58.0,2988.0,7235.0,-0.1539737387698687
2000,5113.0,2315.0,130.0,,148.0,4600.0,7193.0,0.3176699569025441
2000,5115.0,6669.0,259.0,,250.0,11244.0,18422.0,0.24834437086092714
2000,5117.0,1563.0,29.0,,53.0,1862.0,3507.0,0.08525805531793555
2000,5119.0,68320.0,1756.0,,1209.0,55866.0,127151.0,-0.097946536008368
2000,5121.0,3019.0,84.0,,101.0,2673.0,5877.0,-0.05887357495320742
2000,5123.0,4986.0,42.0,,54.0,3414.0,8496.0,-0.1850282485875706
2000,5125.0,12700.0,533.0,,541.0,18617.0,32391.0,0.18267419962335216
2000,5127.0,1444.0,48.0,,90.0,2399.0,3981.0,0.23988947500627983
2000,5129.0,1229.0,83.0,,136.0,2610.0,4058.0,0.34031542631838346
2000,5131.0,15555.0,503.0,,618.0,23483.0,40159.0,0.19741527428471825
2000,5133.0,2095.0,55.0,,32.0,2111.0,4293.0,0.0037269974376892617
2000,5135.0,3236.0,115.0,,77.0,3698.0,7126.0,0.06483300589390963
2000,5137.0,2043.0,98.0,,96.0,2623.0,4860.0,0.11934156378600823
2000,5139.0,6261.0,130.0,,571.0,8647.0,15609.0,0.15286052918188225
2000,5141.0,3202.0,153.0,,144.0,3485.0,6984.0,0.04052119129438717
2000,5143.0,21425.0,1208.0,,595.0,28231.0,51459.0,0.13226063468003654
2000,5145.0,8342.0,243.0,,395.0,13170.0,22150.0,0.21796839729119638
2000,5147.0,1699.0,19.0,,35.0,898.0,2651.0,-0.3021501320256507
2000,5149.0,3062.0,78.0,,116.0,3223.0,6479.0,0.024849513813860163
2000,6001.0,342889.0,27499.0,,4669.0,119279.0,494336.0,-0.45234415458311755
2000,6003.0,265.0,25.0,,15.0,281.0,586.0,0.027303754266211604
2000,6005.0,5906.0,584.0,,208.0,8766.0,15464.0,0.18494568028970512
2000,6007.0,31338.0,5727.0,,1072.0,45584.0,83721.0,0.17016041375521077
2000,6009.0,7093.0,863.0,,321.0,10599.0,18876.0,0.1857385039203221
2000,6011.0,1745.0,151.0,,65.0,3629.0,5590.0,0.3370304114490161
2000,6013.0,224338.0,13067.0,,2700.0,141373.0,381478.0,-0.2174830527579572
2000,6015.0,3117.0,485.0,,166.0,4526.0,8294.0,0.1698818422956354
2000,6017.0,26220.0,3013.0,,858.0,42045.0,72136.0,0.219377287346124
2000,6019.0,95059.0,6541.0,,1893.0,117342.0,220835.0,0.10090338940838182
2000,6021.0,2498.0,268.0,,150.0,5795.0,8711.0,0.3784869704970727
2000,6023.0,24851.0,7100.0,,802.0,23219.0,55972.0,-0.029157435860787537
2000,6025.0,15489.0,608.0,,316.0,12524.0,28937.0,-0.10246397345958462
2000,6027.0,2652.0,344.0,,106.0,4713.0,7815.0,0.2637236084452975
