,,,,,,,2000_2016_pct_chg,2000_2016_pct_chg,2016_2020,2016_2020
,,,,,,,std,median,pct_change,vote_change
county_fips,POP_ESTIMATE_2020,state,state_po,county_name,fixed_fips,size,,,,
13029,45043.0,GEORGIA,GA,BRYAN,13029,xs,0.1686723550568391,0.1376328244657835,0.6788739412057798,2725.0
13031,79922.0,GEORGIA,GA,BULLOCH,13031,xs,0.20493298875764,0.11536241843727546,0.21401576503617314,1982.0
13033,24635.0,GEORGIA,GA,BURKE,13033,xs,0.15579401554626854,0.08269760864160247,0.10103572183470733,478.0
13035,25549.0,GEORGIA,GA,BUTTS,13035,xs,0.1489687727825153,0.04796399507099214,0.27591582229150435,708.0
13037,5574.0,GEORGIA,GA,CALHOUN,13037,xs,0.1258011713207506,-0.010973388422408803,0.06870229007633588,81.0
13039,54931.0,GEORGIA,GA,CAMDEN,13039,xs,0.22595695987498338,0.12955191307467673,0.34350758853288355,2037.0
13043,11022.0,GEORGIA,GA,CANDLER,13043,xs,0.09474418261171384,-0.001087522592898904,0.23684210526315796,243.0
13045,119498.0,GEORGIA,GA,CARROLL,13045,s,0.22766280628243432,0.07526782564993972,0.3027920410783056,3774.0
13047,68006.0,GEORGIA,GA,CATOOSA,13047,xs,0.0927292553014576,-0.03600133477481393,0.4529448752881995,2161.0
13049,12534.0,GEORGIA,GA,CHARLTON,13049,xs,0.12099105531000542,0.024137931034482807,0.09860557768924294,99.0
13051,295089.0,GEORGIA,GA,CHATHAM,13051,s,0.18649095965397838,0.12390711782145447,0.256285117996468,15964.0
13053,9475.0,GEORGIA,GA,CHATTAHOOCHEE,13053,xs,0.21362971005897144,-0.023974033261116856,0.12289562289562284,73.0
13055,24925.0,GEORGIA,GA,CHATTOOGA,13055,xs,0.12824960503025334,-0.1080217065880581,0.1494110353378797,241.0
13057,268156.0,GEORGIA,GA,CHEROKEE,13057,s,0.25561848877502075,0.23867653293049407,0.6960881455352543,17563.0
13059,128551.0,GEORGIA,GA,CLARKE,13059,s,0.25652013761317005,0.2632810539683823,0.217714420835726,6445.0
13061,2828.0,GEORGIA,GA,CLAY,13061,xs,0.12026524089038929,-0.02367738779672951,0.13342898134863712,93.0
13063,299439.0,GEORGIA,GA,CLAYTON,13063,s,0.26869016694762937,0.19432735221725916,0.22060854001534125,17256.0
13065,6720.0,GEORGIA,GA,CLINCH,13065,xs,0.23306402777550486,-0.10970305715815143,0.08892128279883371,61.0
13067,766378.0,GEORGIA,GA,COBB,13067,l,0.17221622741511627,0.2010737489174632,0.3854897233966812,61725.0
13069,43060.0,GEORGIA,GA,COFFEE,13069,xs,0.16959587453933617,0.07928196833920875,0.1018563751831949,417.0
13071,45891.0,GEORGIA,GA,COLQUITT,13071,xs,0.15031761231239868,-0.0077692584859921365,0.2090672827028588,724.0
13073,156865.0,GEORGIA,GA,COLUMBIA,13073,s,0.1424633037962125,0.2119018053247782,0.5479430295970773,10349.0
13075,17236.0,GEORGIA,GA,COOK,13075,xs,0.14160091669309596,0.020724214735696966,0.17455790074158584,306.0
13077,146747.0,GEORGIA,GA,COWETA,13077,s,0.2047283205287031,0.13448656554248484,0.4599288427908099,7627.0
13079,12103.0,GEORGIA,GA,CRAWFORD,13079,xs,0.14790970755624488,-0.021500344900238666,0.13652357494722023,194.0
13081,20053.0,GEORGIA,GA,CRISP,13081,xs,0.17340873605697926,0.03291092473966595,0.05252026788861475,149.0
13083,16239.0,GEORGIA,GA,DADE,13083,xs,0.17843455054227578,-0.12021655330495773,0.3067357512953368,296.0
13085,27059.0,GEORGIA,GA,DAWSON,13085,xs,0.19264737184111938,0.06246764414260264,0.7168508287292819,1038.0
13087,29326.0,GEORGIA,GA,DECATUR,13087,xs,0.1389300404719188,0.04521334483533024,0.1590688651794374,656.0
13089,764489.0,GEORGIA,GA,DEKALB,13089,l,0.1739306352389547,0.1615819267929639,0.22618848709074268,56857.0
13091,19949.0,GEORGIA,GA,DODGE,13091,xs,0.14565527704028106,-0.017012012982171865,0.1805328983143013,332.0
13093,11156.0,GEORGIA,GA,DOOLY,13093,xs,0.12356027623794069,0.05331532466049815,0.02083333333333326,39.0
13095,85155.0,GEORGIA,GA,DOUGHERTY,13095,xs,0.19202985051345087,0.09780577401583712,0.05430912444768565,1266.0
13097,144648.0,GEORGIA,GA,DOUGLAS,13097,s,0.3317827569062548,0.261658820526814,0.38071278825995813,11804.0
13099,10794.0,GEORGIA,GA,EARLY,13099,xs,0.31028806483802474,0.05547059188558401,0.12407749077490782,269.0
13101,3721.0,GEORGIA,GA,ECHOLS,13101,xs,0.022529570197181138,-0.1345868062285973,0.07051282051282048,11.0
13103,65169.0,GEORGIA,GA,EFFINGHAM,13103,xs,0.17678523000472035,0.06005609424394631,0.590768596744282,2867.0
13105,19668.0,GEORGIA,GA,ELBERT,13105,xs,0.17527984787164322,0.03652735365004722,0.1339109885781804,340.0
13107,22893.0,GEORGIA,GA,EMANUEL,13107,xs,0.11234510904949625,-0.0337375169296073,0.18439425051334712,449.0
13109,10792.0,GEORGIA,GA,EVANS,13109,xs,0.10743190155910684,-0.040216893379692586,0.1716814159292035,194.0
13111,25436.0,GEORGIA,GA,FANNIN,13111,xs,0.09766488264302078,-0.04715636751051833,0.33697347893915763,648.0
